candidate_id,receipts,disbursements,cash_on_hand,individual_contributions,pac_contributions
S6FL00848,3429.73,129.73,3300.0,3429.73,0.0
S6CO00499,443494.98,329433.96,114061.02,437982.13,5500.0
S6IL00425,28555.42,22855.91,5699.51,20193.42,0.0
S0SC00149,5928622.17,9938630.67,11613608.79,1080475.2,573750.0
S2FL00581,178051.99,178581.66,126388.14,29991.64,5000.0
S6OK04171,22600.36,15373.35,7227.01,19173.5,0.0
S6WY00209,1555542.88,1278925.42,1159580.5,996770.72,277000.0
S0TN00169,5880481.66,2133071.28,5674879.45,3021763.57,1175950.0
S6MN00531,133465.26,133465.26,0.0,133285.92,0.0
S6IL00680,31662.4,7626.64,24035.76,18963.0,0.0
S6KS00304,10741.42,5372.27,5369.15,6922.03,0.0
S6CO00473,20335.73,20335.73,0.0,1082.26,0.0
S6OK04247,8284047.86,67761.21,8216286.65,592563.64,146500.0
S6SC04346,15467.37,3384.1,12083.27,292.37,0.0
S6MI00384,10058.6,10058.6,0.0,10058.6,0.0
S0CO00575,6818283.07,4217907.35,4036008.7,4920780.46,765467.77
S6SC04189,0.0,0.0,0.0,0.0,0.0
S6MI00467,10937.0,6170.77,4766.23,7650.0,0.0
S6AL00443,1543189.2,1000988.79,542200.41,1537930.27,5000.0
S4MT00217,10900.0,3125.0,8519.73,200.0,0.0
S6TX00511,2071561.67,4526166.01,32571.82,1376471.65,166500.0
S6OH00304,10518818.26,2357657.71,8161160.55,4287474.31,1755385.0
S8MS00261,3394174.57,1405313.85,2458624.57,1703467.87,995050.0
S6NH00174,48502.53,48502.53,0.0,48502.53,0.0
S6SC04288,569185.56,569185.56,0.0,68985.56,0.0
S6NC00480,6720.07,4626.94,0.0,2202.97,0.0
S6CO00481,25.0,0.0,1100.0,25.0,0.0
S6CO00440,485402.64,192985.78,292416.86,125302.64,10000.0
S6DE00206,20211.0,116.78,20094.22,951.0,0.0
S6IL00474,3466395.93,3278736.11,187659.82,1075148.98,229001.96
S6TX00362,10593.07,11238.76,-645.69,6692.0,0.0
S6OH00361,42800.15,45272.47,19090.5,31016.14,0.0
S6GA00382,563078.46,563078.46,0.0,551345.42,11500.0
S6ME00381,458786.42,458366.92,419.5,244074.58,0.0
S6IL00482,31390858.87,28237935.72,3152923.15,11005562.55,495361.2
S6IA00181,20422.91,29466.51,5513.72,20422.91,0.0
S6ME00340,7739.32,1928.92,5810.4,5989.32,0.0
S6FL00657,32771.73,27362.66,5409.07,5834.0,0.0
S6FL00624,0.0,0.0,0.0,0.0,0.0
S6AL00427,136063.71,126564.66,9499.05,133533.71,20.0
S6ID00161,164600.0,109922.7,54677.3,11600.0,5000.0
S6NJ00438,101260.25,77955.94,23304.31,1260.25,0.0
S6LA00664,4398631.34,2785528.85,1613102.49,631696.48,164000.0
S6OH00395,57814.65,27570.96,31998.93,57810.39,0.0
S6AR00215,92531.55,92404.15,127.4,8261.95,0.0
S6IL00540,24715.06,22829.78,1885.28,22077.07,0.0
S6MN00465,299376.29,299376.29,0.0,191138.59,5000.0
S6SC04353,2605.0,2605.0,0.0,258.0,0.0
S0NM00058,4658613.41,1696484.92,4175921.38,2408143.73,1280050.0
S0WY00137,1493103.64,561688.66,1608754.71,402561.34,697132.24
S6FL00673,23287.14,3139.89,20147.25,2287.14,0.0
S6SC04213,5726191.16,2398855.44,3327335.72,487187.95,0.0
S6NH00182,114396.4,99741.66,14654.74,113725.54,250.0
S6CO00424,260985.97,204767.55,56218.42,159219.53,3000.0
S4MA00028,3804689.34,3073999.78,2541376.53,1705111.1,483100.0
S0KS00315,3331963.38,255723.24,4781258.78,1461071.57,1233250.0
S6AL00450,1395256.62,919961.82,475294.8,1236571.23,85500.0
S6NE00152,9390.0,5402.53,3987.47,9390.0,0.0
S6IL00649,21976.0,20613.84,1362.16,21976.0,0.0
S2GA00282,36143.79,23433.03,12412.31,6143.79,0.0
S2KY00012,174224.95,934417.29,7333272.06,18653.82,15000.0
S6NC00464,64450.36,2299.5,62674.26,64447.81,0.0
S0KY00339,2154476.84,2072058.55,82418.29,2121257.09,25000.0
S4RI00051,139874.63,127794.47,12418.69,137896.07,1600.0
S6MI00392,8624066.19,4931519.99,3692546.2,8475064.69,58718.64
S6SD01133,1555.13,11.24,1543.89,1429.1,0.0
S4WV00407,5775.28,5775.28,0.0,5775.28,0.0
S6OK04205,6187.6,3737.48,2450.12,6000.0,0.0
S8OR00207,3944598.07,1725947.65,6485649.07,3072756.16,402500.0
S6ME00407,5359823.45,4285469.89,1074353.56,5019502.07,140728.38
S8VA00321,192041.22,136636.24,55404.98,58632.36,0.0
S6FL00640,8407063.8,1277671.65,7129392.15,2748661.48,1504500.0
S6AL00476,2499190.43,2149124.96,475197.13,1901947.52,451539.41
S6KY00302,8592132.21,7883807.49,708324.72,1930612.52,40000.0
S6NC00522,12713.82,12035.64,678.18,12713.82,0.0
S6MA00296,4255419.17,2774289.78,3331467.45,3951789.48,216100.0
S6FL00806,717348.11,637278.06,80070.05,644002.58,500.0
S2OK00186,3181183.59,1003117.36,2361083.02,868061.07,1098238.12
S4NJ00532,9709.03,8246.16,566.81,5592.07,0.0
S6KS00270,179817.62,134230.89,45586.73,179817.62,0.0
S6MT00238,272736.33,168977.55,103938.36,140912.64,66.52
S6NC00340,588995.0,1277986.16,0.0,534864.47,41010.0
S6NC00357,0.0,52.0,1912.66,5651.22,0.0
S6FL00830,293583.92,20957.37,177595.28,293583.92,0.0
